Instance,Lambda,V,K,M*,OPT,Sec
CapEuclideo.200.100.9.3,9,200,100,123,9418,18156
CapEuclideo.200.100.9.4,9,200,100,121,9753,18056
CapEuclideo.200.100.9.5,9,200,100,118,9506,18090
CapEuclideo.200.100.95.1,95,200,100,68,4805,17137
CapEuclideo.200.100.95.2,95,200,100,75,4867,18017
CapEuclideo.200.100.95.3,95,200,100,74,4764,18033
CapEuclideo.200.100.95.4,95,200,100,72,5289,18017
CapEuclideo.200.100.95.5,95,200,100,72,5241,18014
CapEuclideo.200.100.99.1,99,200,100,28,2039,3820
CapEuclideo.200.100.99.2,99,200,100,33,2790,18004
CapEuclideo.200.100.99.3,99,200,100,26,2239,18005
CapEuclideo.200.100.99.4,99,200,100,31,2564,18005
CapEuclideo.200.100.99.5,99,200,100,23,1867,1528
