Instance,Lambda,V,K,M*,OPT,Sec
CapEuclideo.50.200.1.5,1,50,200,50,168189,20
CapEuclideo.50.200.5.1,5,50,200,50,53186,3
CapEuclideo.50.200.5.2,5,50,200,50,53628,4
CapEuclideo.50.200.5.3,5,50,200,50,54911,3
CapEuclideo.50.200.5.4,5,50,200,50,55905,4
CapEuclideo.50.200.5.5,5,50,200,50,53661,22
CapEuclideo.50.200.7.1,7,50,200,50,22626,3
CapEuclideo.50.200.7.2,7,50,200,50,21912,9
CapEuclideo.50.200.7.3,7,50,200,50,22386,3
CapEuclideo.50.200.7.4,7,50,200,50,22927,3
CapEuclideo.50.200.7.5,7,50,200,50,22594,12
CapEuclideo.50.200.8.1,8,50,200,47,12519,5
CapEuclideo.50.200.8.2,8,50,200,45,12108,15
CapEuclideo.50.200.8.3,8,50,200,45,12431,8
CapEuclideo.50.200.8.4,8,50,200,48,12717,7
CapEuclideo.50.200.8.5,8,50,200,44,12612,10
CapEuclideo.50.200.9.1,9,50,200,36,6523,21
CapEuclideo.50.200.9.2,9,50,200,41,6213,113
CapEuclideo.50.200.9.3,9,50,200,38,6241,89
CapEuclideo.50.200.9.4,9,50,200,40,6444,55
CapEuclideo.50.200.9.5,9,50,200,36,6534,124
CapEuclideo.50.200.95.1,95,50,200,29,4306,39
CapEuclideo.50.200.95.2,95,50,200,32,4553,58
CapEuclideo.50.200.95.3,95,50,200,27,4005,885
CapEuclideo.50.200.95.4,95,50,200,26,4072,87
CapEuclideo.50.200.95.5,95,50,200,29,4805,34
CapEuclideo.50.200.99.1,99,50,200,15,2414,6
CapEuclideo.50.200.99.2,99,50,200,14,2770,20
CapEuclideo.50.200.99.3,99,50,200,14,2440,18
CapEuclideo.50.200.99.4,99,50,200,18,2627,38
CapEuclideo.50.200.99.5,99,50,200,22,3704,22
CapEuclideo.100.50.1.1,1,100,50,100,93291,22
CapEuclideo.100.50.1.2,1,100,50,100,93710,13
CapEuclideo.100.50.1.3,1,100,50,100,86395,13
CapEuclideo.100.50.1.4,1,100,50,100,92922,10
CapEuclideo.100.50.1.5,1,100,50,100,81486,9
CapEuclideo.100.50.5.1,5,100,50,100,33174,25
CapEuclideo.100.50.5.2,5,100,50,100,33050,14
CapEuclideo.100.50.5.3,5,100,50,100,30223,17
CapEuclideo.100.50.5.4,5,100,50,100,32249,13
CapEuclideo.100.50.5.5,5,100,50,100,28275,12
CapEuclideo.100.50.7.1,7,100,50,88,15801,25
CapEuclideo.100.50.7.2,7,100,50,90,15665,26
CapEuclideo.100.50.7.3,7,100,50,87,14358,36
CapEuclideo.100.50.7.4,7,100,50,90,15418,16
CapEuclideo.100.50.7.5,7,100,50,84,13746,17
CapEuclideo.100.50.8.1,8,100,50,75,9856,127
CapEuclideo.100.50.8.2,8,100,50,64,9745,143
CapEuclideo.100.50.8.3,8,100,50,68,8756,56
CapEuclideo.100.50.8.4,8,100,50,74,9574,79
CapEuclideo.100.50.8.5,8,100,50,69,8691,57
CapEuclideo.100.50.9.1,9,100,50,46,4847,166
CapEuclideo.100.50.9.2,9,100,50,35,4672,441
CapEuclideo.100.50.9.3,9,100,50,43,4381,110
CapEuclideo.100.50.9.4,9,100,50,41,4961,444
CapEuclideo.100.50.9.5,9,100,50,37,4607,888
CapEuclideo.100.50.95.1,95,100,50,30,2699,178
